datetime,symbol,side,qty,price,cost,fee_cost,fee_currency
2026-02-09T14:15:01.934Z,SOL/USDT:USDT,buy,1.11,83.87,93.0957,0.04654785,USDT
2026-02-09T14:15:01.934Z,SOL/USDT:USDT,buy,0.08,83.87,6.7096,0.0033548,USDT
2026-02-09T14:15:01.934Z,SOL/USDT:USDT,buy,0.07,83.87,5.8709,0.00293545,USDT
2026-02-09T14:15:01.934Z,SOL/USDT:USDT,buy,0.06,83.87,5.0322,0.00251609,USDT
2026-02-09T14:15:02.771Z,SOL/USDT:USDT,buy,1.43,83.85,119.9055,0.05995275,USDT
2026-02-09T14:15:03.665Z,DOGE/USDT:USDT,sell,108.0,0.09375,10.125,0.0050625,USDT
2026-02-09T14:15:03.665Z,DOGE/USDT:USDT,sell,1174.0,0.09375,110.0625,0.05503125,USDT
2026-02-09T14:15:04.557Z,BNB/USDT:USDT,buy,0.12,625.71,75.0852,0.0375426,USDT
2026-02-09T14:19:02.233Z,SOL/USDT:USDT,sell,1.43,83.72,119.7196,0.0598598,USDT
2026-02-09T14:19:02.567Z,BNB/USDT:USDT,sell,0.12,624.04,74.8848,0.0374424,USDT
2026-02-09T14:23:44.516Z,DOGE/USDT:USDT,buy,53.0,0.09387,4.97511,0.00248755,USDT
2026-02-09T14:23:44.516Z,DOGE/USDT:USDT,buy,838.0,0.09387,78.66306,0.03933153,USDT
2026-02-09T14:23:44.516Z,DOGE/USDT:USDT,buy,59.0,0.09387,5.53833,0.00276916,USDT
2026-02-09T14:23:44.516Z,DOGE/USDT:USDT,buy,56.0,0.09387,5.25672,0.00262836,USDT
2026-02-09T14:23:44.516Z,DOGE/USDT:USDT,buy,276.0,0.09387,25.90812,0.01295406,USDT
2026-02-09T14:24:02.647Z,DOGE/USDT:USDT,buy,104.0,0.09389,9.76456,0.00488228,USDT
2026-02-09T14:24:02.647Z,DOGE/USDT:USDT,buy,108.0,0.09389,10.14012,0.00507006,USDT
2026-02-09T14:24:02.647Z,DOGE/USDT:USDT,buy,59.0,0.09389,5.53951,0.00276975,USDT
2026-02-09T14:24:02.647Z,DOGE/USDT:USDT,buy,187.0,0.09389,17.55743,0.00877871,USDT
2026-02-09T14:24:02.647Z,DOGE/USDT:USDT,buy,607.0,0.09389,56.99123,0.02849561,USDT
2026-02-09T14:24:03.552Z,ETH/USDT:USDT,buy,0.039,2020.43,78.79677,0.03939838,USDT
2026-02-09T14:24:04.461Z,SOL/USDT:USDT,buy,0.95,83.93,79.7335,0.03986675,USDT
2026-02-09T14:25:02.275Z,ETH/USDT:USDT,sell,0.039,2020.57,78.80223,0.03940111,USDT
